TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0008509"	"monoatomic anion transmembrane transporter activity"	-1.8442147153687642	5.083713982369402	0.33156350713461186	0.7297123334498699	0.34299927	-5.752489720320031	0.9299343322273497	null
"GO:0015101"	"organic cation transmembrane transporter activity"	-2.4786003718846246	3.954965731058421	0.02464755688953629	0.7389146306273398	0.28495938	-6.693936931045287	0.9362495016981301	null
"GO:0015245"	"fatty acid transmembrane transporter activity"	-2.088629292883862	2.8068580295188172	0.0017499929453409391	0.6247257860087825	0.67621856	-5.2604268475412	3.2699922389602434	null
"GO:0015347"	"sodium-independent organic anion transmembrane transporter activity"	-2.917933065714887	2.519827993775719	0.0009023401124414217	0.6544414644339513	0.43192159	-6.040693873166447	3.130831457352986	null
"GO:0016454"	"C-palmitoyltransferase activity"	-1.4865693015558996	2.973589623427257	0.0025703021384695045	0.9430456895792787	0.68497376	2.61339624671574	-5.042066164203867	null
"GO:0016491"	"oxidoreductase activity"	-5.501292558376606	6.632025009785554	11.718748461920264	0.9708147558964341	0.04770777	2.457133061947688	-1.098632870505417	null
"GO:0016614"	"oxidoreductase activity, acting on CH-OH group of donors"	-1.4865693015558996	5.771139728421812	1.6143411484372456	0.8623018656290188	0.44880521	1.9481235972528443	6.741396862464058	null
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	-1.5015096510492403	5.692075427798286	1.3456461378640068	0.8640004090443946	0.40399916	1.5050670897557425	6.542540634946502	null
"GO:0016706"	"2-oxoglutarate-dependent dioxygenase activity"	-2.2537251688364646	4.554949256238893	0.09812812004601607	0.8175101514432663	0.31576229	2.536243820511392	5.9213521488944085	null
"GO:0042910"	"xenobiotic transmembrane transporter activity"	-1.4408118109952246	4.801081128307117	0.1729539902792267	0.7400175859218109	0.36266697	-4.776967480053636	1.1315734258428514	null
"GO:0046943"	"carboxylic acid transmembrane transporter activity"	-2.4786003718846246	5.116352006052596	0.357441527813841	0.5317377353712471	0.63272867	-5.540236932257671	2.4023690730620375	null
"GO:0005313"	"L-glutamate transmembrane transporter activity"	-1.4865693015558996	3.0149403497929366	0.0028273323523164548	0.5939499481482402	0.91594183	null	null	46943
"GO:0005342"	"organic acid transmembrane transporter activity"	-2.4786003718846246	5.118704420920559	0.3593829262375786	0.5740008718339549	0.94202806	null	null	46943
"GO:0008028"	"monocarboxylic acid transmembrane transporter activity"	-2.636331621889232	4.246523199966574	0.048234180555959634	0.5696511219886347	0.84520967	null	null	46943
"GO:0008514"	"organic anion transmembrane transporter activity"	-2.2189630613788682	5.183204338591583	0.4169248817715704	0.5892835302814774	0.83270058	null	null	46943
"GO:0015172"	"acidic amino acid transmembrane transporter activity"	-1.4865693015558996	3.1983821300082944	0.004314826355856253	0.5921037158944806	0.71512561	null	null	46943
"GO:0015183"	"L-aspartate transmembrane transporter activity"	-1.5791145097606982	2.582063362911709	0.0010417926752732778	0.6099150395823375	0.82184163	null	null	46943
"GO:0048018"	"receptor ligand activity"	-1.6169030700509057	5.145072037704998	0.38187853867714094	0.9691031852007409	0.00640932	5.511196686759668	-1.8017979613795696	null
"GO:0051213"	"dioxygenase activity"	-2.636331621889232	5.364882920846985	0.6334865087575116	0.8708790305821588	0.02991731	1.1319631564355566	7.109245696394008	null
"GO:0090416"	"nicotinate transmembrane transporter activity"	-2.917933065714887	1.6434526764861874	0.00011757765101509436	0.6630963295726051	0.21139432	-5.366245491653803	3.9102365410122952	null
"GO:0090482"	"vitamin transmembrane transporter activity"	-3.922297871117337	4.500538344560767	0.08657269787881168	0.7502542156183863	0	-5.252059612582698	0.20738583784662779	null
