gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cvig_LOC111129343,1813.62193682933,1.13429886487313,0.442029538103726,0.00178966350646577,0.00690749239097794
Cvig_LOC111132196,1850.01866601133,0.8505047017164,0.280466064209389,0.000934970078446377,0.00393491375458176
Cvig_LOC111132160,1710.80444723673,-0.655085963193245,0.309876582531673,0.0188776062668187,0.0505064619004223
Cvig_LOC111125459,1761.60610286684,0.444250994049784,0.147582615369485,0.00204565279493376,0.00774485326646489
Cvig_LOC111110134,1688.17282252845,-0.39655503155985,0.677212748322451,0.33538006569706,0.482504148648401
Cvig_LOC111118302,1651.22199131166,-0.147137262813475,0.266145306910097,0.551097544262961,0.682543071604833
Cvig_LOC111123940,1771.98221960546,0.734983993854798,0.152215695790727,7.0870564585691e-07,6.11491236284361e-06
Cvig_LOC111129301,1669.40543842696,-0.174019844045203,0.123372288592389,0.151686833045831,0.267181927993229
Cvig_LOC111136802,1621.37153456598,-0.754648800922062,0.174157007612449,7.24404451545734e-06,5.10124242744334e-05
Cvig_LOC111110770,1620.41758109426,-1.50530943068794,0.229669376601465,3.89796398639909e-12,7.80211129130453e-11
Cvig_LOC111137241,1642.69142367385,-0.693765471309571,0.154279970148868,3.81998701476279e-06,2.85548555404484e-05
Cvig_LOC111126292,1715.59816193047,-0.124671839578431,0.222265425518876,0.554442657209929,0.685233255825388
Cvig_LOC111099194,1682.96884998173,-0.0743938586731293,0.203657519737223,0.702691109702897,0.802151261694282
Cvig_LOC111121733,1672.15746402504,0.0208932955180402,0.233990712054102,0.924616623732662,0.953607251541451
Cvig_LOC111123124,1679.77983544963,-0.598161083257657,0.226426378045061,0.00516136148895705,0.0171276192056754
Cvig_LOC111122955,1700.63648301925,-0.330012952104536,0.262642441046602,0.175925747728036,0.298410917070535
Cvig_LOC111107462,1806.0765758929,1.27206744267056,0.276692857233394,5.76248520530996e-07,5.05078065577945e-06
Cvig_LOC111125622,1679.57012085075,0.00580400489304361,0.107379803138194,0.956366624380702,0.973368560562988
Cvig_LOC111134439,1692.94800770332,0.213521977563512,0.0904162643212347,0.0172038444203836,0.0467840751931897
Cvig_LOC111129591,1688.18990551652,0.508044932721266,0.222852927136206,0.0160404053127148,0.0441492527344549
Cvig_LOC111113264,1663.83334949233,0.196041919095174,0.188182125341897,0.279306688293678,0.421909183652927
Cvig_LOC111136663,1985.99885082027,3.36699774925157,0.303660986931869,1.18646061817902e-30,1.52141870733566e-28
Cvig_LOC111131538,1745.59009509346,0.859552837260381,0.30807204175182,0.00195688717599702,0.00745891807235695
